Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-74.75,45.02,CORNWALL,6101874,1/1/2025,2025,1,1,†,1,,0,,0.5,,17.5,,0,,3.8,,2,,5.8,,0,,,,,
-74.75,45.02,CORNWALL,6101874,1/2/2025,2025,1,2,†,0,,-2,,-1,,19,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,1/3/2025,2025,1,3,†,-4,,-6.5,,-5.3,,23.3,,0,,0,,0,,0,,0,,,,,
-74.75,45.02,CORNWALL,6101874,1/4/2025,2025,1,4,†,-9,,-13,,-11,,29,,0,,0,,2,,2,,0,,,,,
-74.75,45.02,CORNWALL,6101874,1/5/2025,2025,1,5,†,-10.5,,-12,,-11.3,,29.3,,0,,0,,0,,0,,1,,,,,
-74.75,45.02,CORNWALL,6101874,1/6/2025,2025,1,6,†,-9.5,,-17,,-13.3,,31.3,,0,,0,,2,,2,,1,,,,,
-74.75,45.02,CORNWALL,6101874,1/7/2025,2025,1,7,†,-6.5,,-11.5,,-9,,27,,0,,0,,2,,2,,3,,,,,
-74.75,45.02,CORNWALL,6101874,1/8/2025,2025,1,8,†,-11,,-15.5,,-13.3,,31.3,,0,,0,,7,,7,,4,,,,,
-74.75,45.02,CORNWALL,6101874,1/9/2025,2025,1,9,†,-6.5,,-15.5,,-11,,29,,0,,0,,0,,0,,7,,,,,
-74.75,45.02,CORNWALL,6101874,1/10/2025,2025,1,10,†,-5,,-12,,-8.5,,26.5,,0,,0,,1,,1,,5,,,,,
-74.75,45.02,CORNWALL,6101874,1/11/2025,2025,1,11,†,-4,,-8,,-6,,24,,0,,0,,1,,1,,5,,,,,
-74.75,45.02,CORNWALL,6101874,1/12/2025,2025,1,12,†,-3,,-10,,-6.5,,24.5,,0,,0,,2,,2,,6,,,,,
-74.75,45.02,CORNWALL,6101874,1/13/2025,2025,1,13,†,0,,-5.5,,-2.8,,20.8,,0,,0,,3,,3,,8,,,,,
-74.75,45.02,CORNWALL,6101874,1/14/2025,2025,1,14,†,-4.5,,-5,,-4.8,,22.8,,0,,0,,1,,1,,10,,,,,
-74.75,45.02,CORNWALL,6101874,1/15/2025,2025,1,15,†,-6.5,,-10.5,,-8.5,,26.5,,0,,0,,0,,0,,10,,,,,
